# GAGE ( ANALOG network for IDs where YEAR <  2000)
# GAGE (DIGITAL network for IDs where YEAR >= 2000)
# MONTH for which rainfall is being aggregated
# S (season): W (wet, Jun-Oct) or D (dry)
# RAIN: total monthly rainfall in millimeters
gage,year,month,S,rain
RG001,2008,1,D,1.016
RG001,2008,2,D,2.667
RG001,2008,3,D,0.0
RG001,2008,5,D,3.937
RG001,2008,6,W,12.319
RG001,2008,7,W,161.544
RG001,2008,8,W,60.579
RG001,2008,9,W,33.401
RG001,2008,10,W,0.254
RG001,2008,11,D,11.811
RG001,2008,12,D,5.715
RG001,2009,1,D,3.81
RG001,2009,2,D,7.112
RG001,2009,3,D,7.874
RG001,2009,4,D,0.508
RG001,2009,5,D,13.081
RG001,2009,6,W,21.971
RG001,2009,7,W,24.003
RG001,2009,8,W,36.957
RG001,2009,9,W,11.811
RG001,2009,10,W,7.366
RG001,2009,11,D,2.159
RG001,2009,12,D,6.985
RG001,2010,1,D,43.688
RG001,2010,2,D,27.432
RG001,2010,3,D,1.905
RG001,2010,4,D,7.366
RG001,2010,5,D,0.0
RG001,2010,6,W,0.0
RG001,2010,7,W,78.486
RG001,2010,8,W,126.111
RG001,2010,9,W,10.414
RG001,2010,10,W,11.811
RG001,2010,11,D,1.397
RG001,2010,12,D,4.318
RG001,2011,1,D,0.254
RG001,2011,2,D,1.778
RG001,2011,3,D,0.0
RG001,2011,4,D,0.0
RG001,2011,6,W,5.969
RG001,2011,7,W,121.666
RG001,2011,8,W,66.04
RG001,2011,9,W,59.563
RG001,2011,10,W,2.032
RG001,2011,11,D,12.319
RG001,2011,12,D,20.955
RG001,2012,1,D,0.254
RG001,2012,2,D,0.508
RG001,2012,3,D,1.016
RG001,2012,4,D,0.0
RG001,2012,5,D,9.779
RG001,2012,6,W,10.668
RG001,2012,7,W,194.945
RG001,2012,8,W,69.088
RG001,2012,9,W,120.904
RG001,2012,10,W,0.0
RG001,2012,11,D,6.477
RG001,2012,12,D,16.383
RG001,2013,1,D,9.398
RG001,2013,2,D,9.652
RG001,2013,3,D,2.794
RG001,2013,4,D,0.254
RG001,2013,5,D,0.0
RG001,2013,6,W,11.938
RG001,2013,7,W,82.931
RG001,2013,8,W,50.038
RG001,2013,9,W,56.642
RG001,2013,11,D,9.144
RG001,2013,12,D,10.287
RG001,2014,1,D,0.0
RG001,2014,2,D,0.254
RG001,2014,3,D,19.431
RG001,2014,4,D,0.0
RG001,2014,6,W,0.0
RG001,2014,7,W,77.851
RG001,2014,8,W,86.36
RG001,2014,9,W,146.812
RG001,2014,10,W,24.638
RG001,2014,11,D,0.254
RG001,2014,12,D,7.747
RG001,2015,1,D,52.705
RG001,2015,2,D,0.889
RG001,2015,3,D,14.097
RG001,2015,4,D,6.223
RG001,2015,5,D,2.413
RG001,2015,6,W,16.51
RG001,2015,7,W,91.059
RG001,2015,8,W,61.468
RG001,2015,9,W,46.482
RG001,2015,10,W,38.735
RG001,2015,11,D,9.652
RG001,2015,12,D,5.588
RG001,2016,1,D,25.019
RG001,2016,2,D,6.477
RG001,2016,3,D,0.889
RG001,2016,4,D,4.826
RG001,2016,5,D,1.778
RG001,2016,6,W,25.908
RG001,2016,7,W,48.768
RG001,2016,8,W,81.534
RG001,2016,9,W,77.851
RG001,2016,10,W,3.175
RG001,2016,11,D,0.0
RG001,2016,12,D,23.495
RG001,2017,1,D,12.319
RG001,2017,2,D,1.905
RG001,2017,3,D,3.302
RG001,2017,4,D,0.508
RG001,2017,5,D,0.254
RG001,2017,6,W,12.7
RG001,2017,7,W,213.868
RG001,2017,8,W,85.852
RG001,2017,9,W,2.794
RG001,2017,10,W,1.143
RG001,2017,11,D,4.826
RG001,2017,12,D,3.429
RG001,2018,1,D,0.508
RG001,2018,2,D,46.736
RG001,2018,3,D,0.0
RG001,2018,6,W,19.685
RG001,2018,7,W,42.926
RG001,2018,8,W,54.483
RG001,2018,9,W,30.48
RG001,2018,10,W,65.786
RG001,2018,11,D,3.048
RG001,2018,12,D,18.796
RG001,2019,1,D,16.256
RG001,2019,2,D,23.114
RG001,2019,3,D,20.066
RG001,2019,4,D,0.635
RG001,2019,5,D,2.794
RG001,2019,6,W,0.254
RG001,2019,7,W,53.213
RG001,2019,8,W,19.177
RG001,2019,9,W,67.564
RG001,2019,10,W,0.0
RG001,2019,11,D,92.71
RG001,2019,12,D,17.018
RG001,2020,1,D,7.874
RG001,2020,2,D,25.908
RG001,2020,3,D,42.799
RG001,2020,4,D,0.0
RG001,2020,5,D,1.778
RG001,2020,6,W,0.0
RG001,2020,7,W,59.436
RG001,2020,8,W,75.946
RG001,2020,9,W,0.889
RG001,2020,10,W,0.0
RG001,2020,11,D,2.794
RG001,2020,12,D,10.668
RG001,2021,1,D,15.748
RG001,2021,2,D,0.508
RG001,2021,3,D,11.176
RG001,2021,4,D,1.143
RG001,2021,5,D,0.254
RG001,2021,6,W,2.54
RG001,2021,7,W,130.683
RG001,2021,8,W,73.914
RG001,2021,9,W,34.417
RG001,2021,10,W,0.0
RG001,2021,11,D,1.143
RG001,2021,12,D,12.446
RG001,2022,1,D,0.0
RG002,1953,8,W,0.0
RG002,1953,10,W,0.0
RG002,1954,1,D,0.0
RG002,1954,2,D,0.0
RG002,1954,3,D,0.0
RG002,1954,5,D,0.0
RG002,1954,6,W,0.0
RG002,1954,7,W,45.97
RG002,1954,8,W,73.91
RG002,1954,9,W,9.65
RG002,1954,10,W,15.49
RG002,1955,1,D,21.84
RG002,1955,2,D,5.59
RG002,1955,3,D,4.83
RG002,1955,5,D,0.0
RG002,1955,6,W,7.62
RG002,1955,7,W,212.85
RG002,1955,8,W,90.42
RG002,1955,9,W,2.03
RG002,1955,10,W,6.35
RG002,1955,11,D,0.0
RG002,1955,12,D,2.79
RG002,1956,1,D,16.51
RG002,1956,2,D,1.02
RG002,1956,4,D,1.78
RG002,1956,5,D,0.0
RG002,1956,6,W,9.14
RG002,1956,7,W,64.26
RG002,1956,8,W,37.85
RG002,1956,9,W,0.0
RG002,1956,10,W,2.29
RG002,1956,11,D,0.51
RG002,1956,12,D,0.0
RG002,1957,1,D,25.91
RG002,1957,2,D,0.51
RG002,1957,3,D,23.88
RG002,1957,4,D,0.0
RG002,1957,5,D,0.76
RG002,1957,6,W,11.94
RG002,1957,7,W,74.68
RG002,1957,8,W,64.52
RG002,1957,9,W,0.0
RG002,1957,10,W,7.37
RG002,1957,11,D,0.0
RG002,1957,12,D,4.32
RG002,1958,2,D,19.81
RG002,1958,3,D,29.97
RG002,1958,4,D,15.24
RG002,1958,5,D,1.02
RG002,1958,6,W,19.3
RG002,1958,7,W,42.42
RG002,1958,8,W,80.77
RG002,1958,9,W,41.66
RG002,1958,10,W,27.18
RG002,1958,11,D,7.37
RG002,1959,2,D,9.14
RG002,1959,4,D,1.78
RG002,1959,6,W,4.32
RG002,1959,7,W,82.8
RG002,1959,8,W,115.32
RG002,1959,9,W,8.38
RG002,1959,10,W,48.26
RG002,1959,11,D,17.02
RG002,1959,12,D,18.54
RG002,1960,1,D,26.92
