# GAGE (last 3 digits compatible with other WGc-codes)
# X, Y: coordinates for the "EPSG:26912" projection
# Z: elevation (m.a.s.l.) of the GAGE [OPTIONAL!]
# within_c: 1 for gages within WG, and 0 for gages outside WG-c [VERY OPTIONAL!!]
# with_dat: 1 for gages with data, and 0 for gages without data [VERY OPTIONAL!!]
gage,longitude,latitude,X,Y,Z,within_c,with_dat
RG079,-110.0867691040039,31.714214324951172,586528.8,3509121.1,1337.5,1,1
RG080,-110.04191589355469,31.73299789428711,590760.6,3511239.7,1378.3,1,1
RG081,-110.05751037597656,31.705631256103516,589309.6,3508193.4,1409.5,1,1
RG082,-109.9427261352539,31.736156463623047,600153.8,3511676.8,1524.5,1,1
RG083,-110.05299377441406,31.743757247924805,589700.3,3512423.1,1371.6,1,1
RG087,-110.01422119140625,31.74631690979004,593370.4,3512739.6,1421.7,1,1
RG088,-109.9712142944336,31.751602172851562,597438.8,3513363.1,1497.9,1,1
RG089,-109.98304748535156,31.75679588317871,596312.5,3513928.3,1489.2,1,1
RG090,-109.98064422607422,31.749162673950195,596548.3,3513084.2,1458.9,1,1
RG091,-109.95354461669922,31.748580932617188,599115.4,3513044.2,1533.6,1,1
RG092,-110.13553619384766,31.738489151000977,581886.4,3511774.2,1254.2,1,1
RG093,-109.95201110839844,31.773469924926758,599234.29,3515804.36,1535.0,0,1
RG094,-109.93492889404297,31.76205062866211,600864.06,3514554.19,1548.0,0,1
RG096,-110.11779022216797,31.720916748046875,583583.0,3509840.0,1314.0,1,1
RG100,-110.01607513427734,31.67391586303711,593267.6,3504712.6,1428.1,1,1
RG302,-110.14289855957031,31.74105453491211,581187.0,3512053.0,1254.0,0,1
RG322,-110.06739807128906,31.738140106201172,588341.0,3511789.0,1343.0,1,1
RG341,-110.01570129394531,31.704120635986328,593277.2,3508061.1,1414.2,1,1
RG361,-109.95059967041016,31.73529052734375,599407.4,3511573.9,1504.2,1,1
RG381,-110.05750274658203,31.705629348754883,589310.9,3508193.7,1409.5,1,1
RG384,-110.05354309082031,31.74250030517578,589649.8,3512283.4,1367.7,1,1
RG385,-110.01129913330078,31.73397445678711,593660.0,3511374.0,1417.0,1,1
RG386,-110.05463409423828,31.7436466217041,589544.9,3512409.5,1366.6,1,1
RG392,-110.13553619384766,31.738489151000977,581886.4,3511774.2,1254.2,1,1
RG395,-109.94485473632812,31.740245819091797,599947.7,3512128.1,1523.0,1,1
RG397,-110.0191421508789,31.74337387084961,592907.7,3512409.0,1411.0,1,1
RG398,-110.03550720214844,31.73126983642578,591368.9,3511053.6,1378.4,1,1
RG399,-110.0528793334961,31.724842071533203,589729.8,3510326.6,1345.8,1,1
RG504,-110.1244125366211,31.745092391967773,582934.2,3512514.5,1278.0,0,1
RG510,-110.11073303222656,31.707416534423828,584264.1,3508348.9,1383.0,0,1
RG512,-110.09894561767578,31.734783172607422,585356.3,3511391.6,1295.6,1,1
RG537,-110.01559448242188,31.686080932617188,593301.1,3506061.4,1408.9,1,1
RG546,-109.994384765625,31.70924949645996,595287.5,3508648.0,1442.6,1,1
RG550,-109.97711944580078,31.76561164855957,596864.8,3514910.6,1482.0,0,1
RG560,-109.94786834716797,31.743206024169922,599658.7,3512453.5,1527.9,1,1
RG568,-109.91175842285156,31.74949836730957,603072.8,3513184.7,1587.4,0,1
RG581,-110.05747985839844,31.705638885498047,589312.1,3508194.2,1409.5,1,1
RG583,-110.05300903320312,31.743741989135742,589699.3,3512421.4,1371.5,1,1
